,0
1800,"title:Rapid establishment of thermophilic anaerobic microbial community during the one-step startup of thermophilic anaerobic digestion from a mesophilic digester,abstract:Water Research, 69 (2015) 9-19. doi:10.1016/j.watres.2014.11.001"
1801,"title:Rapid fluorescence-based measurement of toxicity in anaerobic digestion,abstract:Water Research, 75 (2015) 123-130. doi:10.1016/j.watres.2015.02.035"
1802,"title:Rapid initiation of methanogenesis in the anaerobic digestion of food waste by acclimatizing sludge with sulfidated nanoscale zerovalent iron,abstract:Bioresource Technology, 341 (2021) 125805. doi:10.1016/j.biortech.2021.125805"
1803,"title:Rapid initiation of methanogenesis in the anaerobic digestion of food waste by acclimatizing sludge with sulfidated nanoscale zerovalent iron,abstract:Bioresource Technology, 341 (2021) 125805. doi:10.1016/j.biortech.2021.125805"
1804,"title:Rapid recovery of methane yield in organic overloaded-failed anaerobic digesters through bioaugmentation with acclimatized microbial consortium,abstract:Science of the Total Environment, 764 (2021) 144219. doi:10.1016/j.scitotenv.2020.144219"
1805,"title:Re-flocculation reduces the effectiveness of sewage sludge pretreatment through hydrodynamic disintegration prior to anaerobic digestion,abstract:Chemosphere, 328 (2023) 138522. doi:10.1016/j.chemosphere.2023.138522"
1806,"title:Reactor performance and energy analysis of solid state anaerobic co-digestion of dairy manure with corn stover and tomato residues,abstract:Waste Management, 73 (2018) 130-139. doi:10.1016/j.wasman.2017.11.041"
1807,"title:Reappraisal of chemical interference in anaerobic digestion processes,abstract:Renewable and Sustainable Energy Reviews, 75 (2017) 954-971. doi:10.1016/j.rser.2016.11.076"
1808,"title:Recalcitrant compounds formation, their toxicity, and mitigation: Key issues in biomass pretreatment and anaerobic digestion,abstract:Chemosphere, 291 (2022) 132930. doi:10.1016/j.chemosphere.2021.132930"
1809,"title:Recalcitrant compounds formation, their toxicity, and mitigation: Key issues in biomass pretreatment and anaerobic digestion,abstract:Chemosphere, 291 (2022) 132930. doi:10.1016/j.chemosphere.2021.132930"
1810,"title:Recent advancements in strategies to improve anaerobic digestion of perennial energy grasses for enhanced methane production,abstract:Science of the Total Environment, 861 (2023) 160552. doi:10.1016/j.scitotenv.2022.160552"
1811,"title:Recent advancements in strategies to improve anaerobic digestion of perennial energy grasses for enhanced methane production,abstract:Science of the Total Environment, 861 (2023) 160552. doi:10.1016/j.scitotenv.2022.160552"
1812,"title:Recent advancements on the migration and transformation of hydrophobic pharmaceutically active compounds in anaerobic digestion process,abstract:Chemical Engineering Journal, 446 (2022) 136902. doi:10.1016/j.cej.2022.136902"
1813,"title:Recent advancements on the migration and transformation of hydrophobic pharmaceutically active compounds in anaerobic digestion process,abstract:Chemical Engineering Journal, 446 (2022) 136902. doi:10.1016/j.cej.2022.136902"
1814,"title:Recent advances in anaerobic digestion of lipid-rich waste: Challenges and potential of seaweeds to mitigate the inhibitory effect,abstract:Chemical Engineering Journal, 449 (2022) 137829. doi:10.1016/j.cej.2022.137829"
1815,"title:Recent advances in anaerobic digestion of lipid-rich waste: Challenges and potential of seaweeds to mitigate the inhibitory effect,abstract:Chemical Engineering Journal, 449 (2022) 137829. doi:10.1016/j.cej.2022.137829"
1816,"title:Recent advances of carbon-based additives in anaerobic digestion: A review,abstract:Renewable and Sustainable Energy Reviews, 183 (2023) 113536. doi:10.1016/j.rser.2023.113536"
1817,"title:Recent developments in monitoring technology for anaerobic digesters: A focus on bio-electrochemical systems,abstract:Bioresource Technology, 329 (2021) 124937. doi:10.1016/j.biortech.2021.124937"
1818,"title:Recent developments in monitoring technology for anaerobic digesters: A focus on bio-electrochemical systems,abstract:Bioresource Technology, 329 (2021) 124937. doi:10.1016/j.biortech.2021.124937"
1819,"title:Recovering and potentially applying of alginate like extracellular polymers from anaerobic digested sludge,abstract:Science of the Total Environment, 898 (2023) 165549. doi:10.1016/j.scitotenv.2023.165549"
1820,"title:Recovery of energy and nutrient resources from cattle paunch waste using temperature phased anaerobic digestion,abstract:Waste Management, 51 (2016) 72-80. doi:10.1016/j.wasman.2016.02.039"
1821,"title:Recovery of energy and nutrient resources from cattle paunch waste using temperature phased anaerobic digestion,abstract:Waste Management, 51 (2016) 72-80. doi:10.1016/j.wasman.2016.02.039"
1822,"title:Recovery of energy and nutrient resources from cattle paunch waste using temperature phased anaerobic digestion,abstract:Waste Management, 51 (2016) 72-80. doi:10.1016/j.wasman.2016.02.039"
1823,"title:Recovery of energy and plant nutrients from a pharmaceutical organic waste derived from a fermentative biomass_ Integration of anaerobic digestion and composting,abstract:Journal of Environmental Chemical Engineering, 5 (2017) 3051-3057. doi:10.1016/j.jece.2017.06.003"
1824,"title:Recovery of failed solid-state anaerobic digesters,abstract:Bioresource Technology, 214 (2016) 866-870. doi:10.1016/j.biortech.2016.04.126"
1825,"title:Recovery of sludge humic acids with alkaline pretreatment and its impact on subsequent anaerobic digestion,abstract:J of Chemical Tech & Biotech 2014.89:707-713"
1826,"title:Recycling durian shell and jackfruit peel via anaerobic digestion,abstract:Bioresource Technology, 343 (2022) 126032. doi:10.1016/j.biortech.2021.126032"
1827,"title:Reduced graphene oxide-nano zerovalent iron assisted anaerobic digestion of dairy wastewater: A potential strategy for CH4 enrichment,abstract:Journal of Environmental Chemical Engineering, 11 (2023) 110035. doi:10.1016/j.jece.2023.110035"
1828,"title:Reducing agitation energy-consumption by improving rheological properties of corn stover substrate in anaerobic digestion,abstract:BIORESOURCE TECHNOLOGY, Corrected proof. doi:10.1016/j.biortech.2014.03.023"
1829,"title:Reduction in greenhouse gas emissions from vinasse through anaerobic digestion,abstract:Applied Energy, 189 (2017) 21-30. doi:10.1016/j.apenergy.2016.12.009"
1830,"title:Reduction in greenhouse gas emissions from vinasse through anaerobic digestion,abstract:Applied Energy, 189 (2017) 21-30. doi:10.1016/j.apenergy.2016.12.009"
1831,"title:Relationship between anaerobic digestion of biodegradable solid waste and spectral characteristics of the derived liquid digestate,abstract:Bioresource Technology, 161 (2014) 69-77. doi:10.1016/j.biortech.2014.03.016"
1832,"title:Relationships between sulfachloropyridazine sodium, zinc, and sulfonamide resistance genes during the anaerobic digestion of swine manure,abstract:Bioresource Technology, 225 (2017) 343-348. doi:10.1016/j.biortech.2016.10.057"
1833,"title:Relationships between sulfachloropyridazine sodium, zinc, and sulfonamide resistance genes during the anaerobic digestion of swine manure,abstract:Bioresource Technology, 225 (2017) 343-348. doi:10.1016/j.biortech.2016.10.057"
1834,"title:Releasing characteristics and fate of heavy metals from phytoremediation crop residues during anaerobic digestion,abstract:Chemosphere, 191 (2018) 520-526. doi:10.1016/j.chemosphere.2017.10.072"
1835,"title:Relieving ammonia nitrogen inhibition in high concentration anaerobic digestion of rural organic household waste by Prussian blue analogue nanoparticles addition,abstract:Bioresource Technology, 330 (2021) 124979. doi:10.1016/j.biortech.2021.124979"
1836,"title:Relieving ammonia nitrogen inhibition in high concentration anaerobic digestion of rural organic household waste by Prussian blue analogue nanoparticles addition,abstract:Bioresource Technology, 330 (2021) 124979. doi:10.1016/j.biortech.2021.124979"
1837,"title:Removal of phenolic compounds from palm oil mill effluent by thermophilic Bacillus thermoleovorans strain A2 and their effect on anaerobic digestion,abstract:International Biodeterioration & Biodegradation , 115 (2016) 293-301. doi:10.1016/j.ibiod.2016.09.010"
1838,"title:Removal of siloxanes in sewage sludge by thermal treatment with gas stripping,abstract:Energy Conversion and Management, 81 (2014) 290-297. doi:10.1016/j.enconman.2014.02.050"
1839,"title:Removal of sulfamethoxazole (SMX) and sulfapyridine (SPY) from aqueous solutions by biochars derived from anaerobically digested bagasse,abstract:Environ Sci Pollut Res, doi:10.1007/s11356-017-8849-0"
1840,"title:Removal of volatile fatty acids and ammonia recovery from unstable anaerobic digesters with a microbial electrolysis cell,abstract:Bioresource Technology, 219 (2016) 348-356. doi:10.1016/j.biortech.2016.07.103"
1841,"title:Repeated pulse feeding induces functional stability in anaerobic digestion,abstract:Microbial Biotechnology 2013.6:414-424"
1842,"title:Acidification and anaerobic digestion change the phosphorus forms and distribution in particle fractions of cattle slurry and phosphorus dynamics in soil after application,abstract:Biosystems Engineering, 200 (2020) 101-111. doi:10.1016/j.biosystemseng.2020.09.005"
1843,"title:Resource recovery and circular economy from organic solid waste using aerobic and anaerobic digestion technologies,abstract:Bioresource Technology, 301 (2020) 122778. doi:10.1016/j.biortech.2020.122778"
1844,"title:Response of a sewage sludge mesophilic anaerobic digester to short and long-term thermophilic temperature fluctuations,abstract:Chemical Engineering Journal, 233 (2013) 109-116. doi:10.1016/j.cej.2013.07.088"
1845,"title:Response of anaerobic digestion of waste activated sludge to residual ferric ions,abstract:Bioresource Technology, 322 (2021) 124536. doi:10.1016/j.biortech.2020.124536"
1846,"title:Response of anaerobic digestion of waste activated sludge to types of alkalis: Contribution identification of metal ions,abstract:Bioresource Technology, 363 (2022) 127895. doi:10.1016/j.biortech.2022.127895"
1847,"title:Response of anaerobic digestion of waste activated sludge to types of alkalis: Contribution identification of metal ions,abstract:Bioresource Technology, 363 (2022) 127895. doi:10.1016/j.biortech.2022.127895"
1848,"title:Response of anaerobic granular sludge to single-wall carbon nanotube exposure,abstract:Water Research, Accepted manuscript. doi:10.1016/j.watres.2014.11.042"
1849,"title:Responses of microalgae Coelastrella sp. to stress of cupric ions in treatment of anaerobically digested swine wastewater,abstract:Bioresource Technology, 251 (2018) 274-279. doi:10.1016/j.biortech.2017.12.058"
1850,"title:Reusing a mixture of anaerobic digestion effluent and thin stillage for cassava ethanol production,abstract:Journal of Cleaner Production, Corrected proof. doi:10.1016/j.jclepro.2014.04.007"
1851,"title:Revealing hydrodynamics and energy efficiency of mixing for high-solid anaerobic digestion of waste activated sludge,abstract:Waste Management, 121 (2021) 1-10. doi:10.1016/j.wasman.2020.11.054"
1852,"title:Revealing the mechanisms of polypyrrole (Ppy) enhancing methane production from anaerobic digestion of waste activated sludge (WAS),abstract:Water Research, 226 (2022) 119291. doi:10.1016/j.watres.2022.119291"
1853,"title:Revealing the microbial mechanism of Fe0 and MnO2 mediated microbial fuel cell-anaerobic digestion coupling system and its energy flow distribution,abstract:Chemosphere, 308 (2022) 136597. doi:10.1016/j.chemosphere.2022.136597"
